Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,1000
total runtime,936.407
average backtracks:,413
average splits:,423
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,2,4.128999948501587,1730,1746
22,19,3.4418947445718864,1519,1530
23,118,1.6956016956749609,748,760
24,263,1.2532547481159746,562,573
25,304,0.6388684150419737,277,287
26,210,0.5275333325068156,230,240
27,79,0.34813924077190933,149,158
28,5,0.11299996376037598,45,51
29,0,0,0,0
--------------------------
variances,number of occurences,average runtime,average backtracks,average splits
0.1728395061728395,3,0.230666716893514,94,103
0.2222222222222222,11,0.6885454654693604,301,311
0.2469135802469136,9,1.135888894399007,512,522
0.32098765432098764,4,0.2045000195503235,85,94
0.3950617283950617,16,0.3915625065565109,168,178
0.4444444444444444,35,1.2353142533983503,547,558
0.4691358024691357,16,1.8656249940395355,806,818
0.46913580246913583,8,0.6060000061988831,260,272
0.54320987654321,29,0.4088620399606639,177,186
0.6172839506172839,40,0.6124749839305877,265,275
0.6666666666666666,48,1.0878333449363708,476,487
0.691358024691358,36,3.1818333797984653,1429,1441
0.7654320987654322,24,0.4033333361148834,180,188
0.8395061728395061,51,0.4705097955815932,203,214
0.8888888888888888,81,1.61133333194403,741,751
0.9135802469135802,17,3.351411735310274,1457,1469
0.9876543209876544,38,0.6087105336942171,266,276
1.0617283950617284,45,0.3016888936360677,128,137
1.1111111111111112,46,0.6917173914287401,301,311
1.1111111111111114,4,1.0169999599456787,437,446
1.1358024691358024,27,1.2810370215663203,558,569
1.2098765432098766,43,0.5320697606996049,233,244
1.2839506172839503,26,0.6973077150491568,299,309
1.2839506172839505,25,1.0578399753570558,461,472
1.2839506172839508,2,0.10400009155273438,41,46
1.3333333333333333,52,0.9568845996489892,421,431
1.3580246913580245,12,0.6939999659856161,304,317
1.432098765432099,24,0.6901666621367136,303,313
1.5061728395061726,7,0.4284285477229527,188,199
1.5061728395061729,24,0.4743749996026357,199,209
1.506172839506173,13,0.4908461754138653,211,221
1.5555555555555556,28,0.6998214210782733,305,316
1.5802469135802468,4,0.7682499885559082,335,344
1.654320987654321,21,0.2439999920981271,104,113
1.7283950617283947,1,0.996999979019165,428,443
1.728395061728395,17,1.0647646819843966,473,483
1.7283950617283952,9,0.4784444173177083,201,212
1.7777777777777777,15,0.6944000085194906,303,314
1.8024691358024691,5,0.3971999645233154,171,182
1.8765432098765429,3,0.9266666571299235,395,404
1.8765432098765433,12,0.47408334414164227,205,217
1.950617283950617,1,1.6969997882843018,778,791
1.9506172839506175,11,1.4741817387667568,661,671
2.0,12,0.48100000619888306,207,217
2.0000000000000004,2,2.447000026702881,1149,1159
2.0246913580246915,2,0.5290000438690186,233,244
2.0987654320987654,11,0.3286363645033403,141,151
2.1728395061728394,3,1.1233333746592205,495,505
2.17283950617284,4,2.3015000224113464,991,1003
2.2222222222222223,4,1.0444999933242798,456,466
2.3209876543209873,1,0.817000150680542,353,364
2.3209876543209877,2,0.8850001096725464,376,384
2.3950617283950617,2,0.3160001039505005,123,133
2.4444444444444446,1,0.16199994087219238,64,75
2.5432098765432096,2,0.5405000448226929,230,238
2.617283950617284,2,0.8674999475479126,376,387
2.6666666666666665,2,0.41800010204315186,180,190
2.691358024691358,1,0.003000020980834961,0,4
2.765432098765432,1,5.54200005531311,2456,2468
2.8395061728395063,2,1.6894999742507935,758,769
2.888888888888889,3,0.10833334922790527,44,51
--------------------------
