Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,1011
total runtime,977.505
average splits:,419
--------------------------
givens,number of occurences,average runtime,average splits
21,2,4.7179999351501465,1746
22,19,3.7503158544239246,1530
23,118,1.7649406861450712,760
24,263,1.3012205330591238,573
25,304,0.6598881592876032,287
26,210,0.5469000021616618,240
27,79,0.3610253062429307,158
28,14,0.10557149137769427,48
29,2,0.4375,193
--------------------------
variance distribution for givens = 21
variances,number of occurences,average runtime,average splits
0.6666666666666666,1,7.986999988555908,2928
1.5555555555555556,1,1.4489998817443848,565
--------------------------
variance distribution for givens = 22
variances,number of occurences,average runtime,average splits
0.2469135802469136,1,0.16500020027160645,67
0.4691358024691357,6,4.170666774113973,1641
0.691358024691358,5,4.772999954223633,1997
0.9135802469135802,2,9.802500128746033,4077
1.1358024691358024,2,0.783500075340271,289
1.3580246913580245,2,0.4890000820159912,208
1.8024691358024691,1,0.05200004577636719,35
--------------------------
variance distribution for givens = 23
variances,number of occurences,average runtime,average splits
0.2469135802469136,8,1.3055000305175781,579
0.4691358024691357,10,0.7591999769210815,323
0.46913580246913583,8,0.6298749446868896,272
0.691358024691358,31,3.1065806496527886,1351
0.9135802469135802,15,2.6435333887736,1121
1.1358024691358024,25,1.4083599948883057,591
1.3580246913580245,10,0.7769999980926514,338
1.5802469135802468,4,0.799750030040741,344
1.8024691358024691,4,0.48875004053115845,219
2.0246913580246915,2,0.5470001697540283,244
2.691358024691358,1,0.003999948501586914,4
--------------------------
variance distribution for givens = 24
variances,number of occurences,average runtime,average splits
0.2222222222222222,11,0.7171818343075839,311
0.4444444444444444,29,1.5282069074696507,664
0.6666666666666666,43,1.0870232526646104,469
0.8888888888888888,68,1.9426764565355636,876
1.1111111111111112,34,0.7216470732408411,310
1.1111111111111114,4,1.0702500939369202,446
1.3333333333333333,40,1.1937749922275542,518
1.5555555555555556,20,0.8435999870300293,366
1.7777777777777777,9,0.888000037935045,391
2.0,3,1.5750000476837158,676
2.0000000000000004,2,2.506500005722046,1159
--------------------------
variance distribution for givens = 25
variances,number of occurences,average runtime,average splits
0.1728395061728395,3,0.23466666539510092,103
0.3950617283950617,16,0.40450000762939453,178
0.6172839506172839,40,0.6328249931335449,275
0.8395061728395061,51,0.4842941200031954,214
1.0617283950617284,45,0.3119333267211914,137
1.2839506172839503,26,0.7209999653009268,309
1.2839506172839505,25,1.0912800216674805,472
1.2839506172839508,2,0.10700011253356934,46
1.5061728395061726,7,0.44042859758649555,199
1.5061728395061729,24,0.48904168605804443,209
1.506172839506173,13,0.508538502913255,221
1.7283950617283947,1,1.0260000228881836,443
1.728395061728395,17,1.1050588243147905,483
1.7283950617283952,9,0.49033331871032715,212
1.950617283950617,1,1.7229998111724854,791
1.9506172839506175,11,1.5254545428536155,671
2.1728395061728394,3,1.1766667366027832,505
2.17283950617284,4,2.3952500224113464,1003
2.3950617283950617,2,0.29499995708465576,133
2.617283950617284,2,0.8879998922348022,387
2.8395061728395063,2,1.7515000104904175,769
--------------------------
variance distribution for givens = 26
variances,number of occurences,average runtime,average splits
0.32098765432098764,4,0.21275007724761963,94
0.54320987654321,29,0.42393104783419905,186
0.7654320987654322,24,0.41716668009757996,188
0.9876543209876544,38,0.6268947249964664,276
1.2098765432098766,41,0.5786829285505342,255
1.432098765432099,24,0.7163333296775818,313
1.654320987654321,20,0.2660999894142151,119
1.8765432098765429,3,0.9683333237965902,404
1.8765432098765433,12,0.4924166798591614,217
2.0987654320987654,10,0.3317000389099121,148
2.3209876543209873,1,0.8469998836517334,364
2.3209876543209877,1,1.745999813079834,723
2.5432098765432096,2,0.5614999532699585,238
2.765432098765432,1,5.7829999923706055,2468
--------------------------
variance distribution for givens = 27
variances,number of occurences,average runtime,average splits
0.4444444444444444,6,0.09683326880137126,45
0.6666666666666666,4,0.14400005340576172,66
0.8888888888888888,13,0.22099997447087213,97
1.1111111111111112,12,0.7139166593551636,315
1.3333333333333333,12,0.33258330821990967,143
1.5555555555555556,7,0.3074285643441336,136
1.7777777777777777,6,0.4671666622161865,200
2.0,9,0.14322222603691948,64
2.2222222222222223,4,1.0789999961853027,466
2.4444444444444446,1,0.1679999828338623,75
2.6666666666666665,2,0.43449997901916504,190
2.888888888888889,3,0.1120000680287679,51
--------------------------
variance distribution for givens = 28
variances,number of occurences,average runtime,average splits
0.32098765432098764,1,0.05500006675720215,26
0.7654320987654322,1,0.47500014305114746,211
0.9876543209876544,1,0.07500004768371582,36
1.2098765432098766,5,0.037400007247924805,19
1.432098765432099,1,0.03900003433227539,17
1.654320987654321,1,0.002000093460083008,1
2.0987654320987654,2,0.23200011253356934,101
2.3209876543209877,2,0.0905001163482666,42
--------------------------
variance distribution for givens = 29
variances,number of occurences,average runtime,average splits
1.2839506172839505,1,0.5590000152587891,244
2.617283950617284,1,0.31599998474121094,142
--------------------------
