Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,1011
total runtime,123.928
average splits:,48
--------------------------
givens,number of occurences,average runtime,average splits
21,2,0.503000020980835,188
22,19,0.10136843982495759,41
23,118,0.19677116305141126,75
24,263,0.14857794576724673,58
25,304,0.10922369439350932,43
26,210,0.08610001178014846,34
27,79,0.08691139160832272,35
28,14,0.030642901148114885,13
29,2,0.06049990653991699,25
--------------------------
variance distribution for givens = 21
variances,number of occurences,average runtime,average splits
0.6666666666666666,1,0.3600001335144043,137
1.5555555555555556,1,0.6459999084472656,239
--------------------------
variance distribution for givens = 22
variances,number of occurences,average runtime,average splits
0.2469135802469136,1,0.1399998664855957,54
0.4691358024691357,6,0.16583335399627686,66
0.691358024691358,5,0.08280005455017089,33
0.9135802469135802,2,0.09049999713897705,36
1.1358024691358024,2,0.03900003433227539,16
1.3580246913580245,2,0.05449998378753662,23
1.8024691358024691,1,0.009000062942504883,9
--------------------------
variance distribution for givens = 23
variances,number of occurences,average runtime,average splits
0.2469135802469136,8,0.10837501287460327,40
0.4691358024691357,10,0.14669992923736572,58
0.46913580246913583,8,0.07624995708465576,29
0.691358024691358,31,0.22306447644387523,85
0.9135802469135802,15,0.2825999895731608,107
1.1358024691358024,25,0.21859997749328614,83
1.3580246913580245,10,0.25660004615783694,100
1.5802469135802468,4,0.21274995803833008,82
1.8024691358024691,4,0.048500001430511475,19
2.0246913580246915,2,0.02049994468688965,10
2.691358024691358,1,0.003999948501586914,3
--------------------------
variance distribution for givens = 24
variances,number of occurences,average runtime,average splits
0.2222222222222222,11,0.113818190314553,45
0.4444444444444444,29,0.07275864173626077,29
0.6666666666666666,43,0.16651162435842115,65
0.8888888888888888,68,0.15122058812309713,60
1.1111111111111112,34,0.12138235569000244,48
1.1111111111111114,4,0.0700000524520874,28
1.3333333333333333,40,0.17062498927116393,66
1.5555555555555556,20,0.23879997730255126,92
1.7777777777777777,9,0.1359999974568685,53
2.0,3,0.2813332875569661,113
2.0000000000000004,2,0.09749996662139893,39
--------------------------
variance distribution for givens = 25
variances,number of occurences,average runtime,average splits
0.1728395061728395,3,0.052666664123535156,23
0.3950617283950617,16,0.05881251394748688,24
0.6172839506172839,40,0.09437499046325684,37
0.8395061728395061,51,0.08227451174866919,34
1.0617283950617284,45,0.0848888980017768,33
1.2839506172839503,26,0.09873078419612004,39
1.2839506172839505,25,0.11444000244140624,45
1.2839506172839508,2,0.07700002193450928,29
1.5061728395061726,7,0.10871434211730957,45
1.5061728395061729,24,0.1865833600362142,72
1.506172839506173,13,0.115615386229295,47
1.7283950617283947,1,0.03299999237060547,16
1.728395061728395,17,0.11876473707311294,47
1.7283950617283952,9,0.18633336491054958,74
1.950617283950617,1,0.43200016021728516,163
1.9506172839506175,11,0.09554546529596503,37
2.1728395061728394,3,0.18200000127156576,68
2.17283950617284,4,0.08000004291534424,33
2.3950617283950617,2,0.17149996757507324,67
2.617283950617284,2,0.3179999589920044,126
2.8395061728395063,2,0.46650004386901855,177
--------------------------
variance distribution for givens = 26
variances,number of occurences,average runtime,average splits
0.32098765432098764,4,0.03175002336502075,14
0.54320987654321,29,0.07258621577558846,29
0.7654320987654322,24,0.06250001986821492,25
0.9876543209876544,38,0.0844473776064421,33
1.2098765432098766,41,0.09565856398605718,37
1.432098765432099,24,0.07879167795181274,31
1.654320987654321,20,0.06414998769760132,26
1.8765432098765429,3,0.3600000540415446,138
1.8765432098765433,12,0.11874999602635701,47
2.0987654320987654,10,0.06909997463226318,29
2.3209876543209873,1,0.4909999370574951,192
2.3209876543209877,1,0.009000062942504883,6
2.5432098765432096,2,0.09400010108947754,39
2.765432098765432,1,0.16000008583068848,64
--------------------------
variance distribution for givens = 27
variances,number of occurences,average runtime,average splits
0.4444444444444444,6,0.01983336607615153,9
0.6666666666666666,4,0.031000077724456787,14
0.8888888888888888,13,0.06946149239173302,29
1.1111111111111112,12,0.1594166358311971,63
1.3333333333333333,12,0.11925001939137776,47
1.5555555555555556,7,0.04214286804199219,18
1.7777777777777777,6,0.12233332792917888,48
2.0,9,0.0633332994249132,26
2.2222222222222223,4,0.0675000548362732,27
2.4444444444444446,1,0.1100001335144043,43
2.6666666666666665,2,0.13349997997283936,56
2.888888888888889,3,0.04333337148030599,18
--------------------------
variance distribution for givens = 28
variances,number of occurences,average runtime,average splits
0.32098765432098764,1,0.01399993896484375,7
0.7654320987654322,1,0.012000083923339844,7
0.9876543209876544,1,0.018000125885009766,9
1.2098765432098766,5,0.020200014114379883,10
1.432098765432099,1,0.03299999237060547,12
1.654320987654321,1,0.003000020980834961,1
2.0987654320987654,2,0.07900011539459229,33
2.3209876543209877,2,0.04500007629394531,19
--------------------------
variance distribution for givens = 29
variances,number of occurences,average runtime,average splits
1.2839506172839505,1,0.10399985313415527,42
2.617283950617284,1,0.01699995994567871,8
--------------------------
