Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
total runtime,57.095
average backtracks:,1476
average splits:,1488
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,2,6.926499962806702,1730,1746
22,8,5.405250012874603,1412,1424
23,1,0,0,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
--------------------------
variances,number of occurencesaverage runtime,average backtracks,average splits
0.1728395061728395,1,0,0,0
0.2222222222222222,1,0,0,0
0.2469135802469136,1,0,0,0
0.3209876543209877,1,0,0,0
0.3950617283950617,1,0,0,0
0.39506172839506176,1,0,0,0
0.4444444444444444,1,0,0,0
0.4691358024691357,4,1.3912500143051147,353,365
0.46913580246913583,1,0,0,0
0.54320987654321,1,0,0,0
0.6172839506172839,1,0,0,0
0.617283950617284,1,0,0,0
0.6666666666666666,1,11.622999906539917,2909,2928
0.691358024691358,2,18.044000029563904,4737,4752
0.7654320987654322,1,0,0,0
0.8395061728395061,1,0,0,0
0.8888888888888888,1,0,0,0
0.9135802469135802,1,0.21399998664855957,52,57
0.9876543209876544,1,0,0,0
1.0617283950617284,1,0,0,0
1.0617283950617287,1,0,0,0
1.1111111111111112,1,0,0,0
1.1111111111111114,1,0,0,0
1.1358024691358024,1,0,0,0
1.2098765432098766,1,0,0,0
1.2839506172839505,1,0,0,0
1.2839506172839508,1,0,0,0
1.3333333333333333,1,0,0,0
1.3580246913580245,1,1.375,360,369
1.432098765432099,1,0,0,0
1.5061728395061729,1,0,0,0
1.506172839506173,1,0,0,0
1.5555555555555556,1,2.2300000190734863,552,565
1.5802469135802468,1,0,0,0
1.654320987654321,1,0,0,0
1.7283950617283952,1,0,0,0
1.7777777777777777,1,0,0,0
1.8024691358024691,1,0,0,0
1.8765432098765429,1,0,0,0
1.8765432098765433,1,0,0,0
1.9506172839506175,1,0,0,0
2.0,1,0,0,0
2.0000000000000004,1,0,0,0
2.0246913580246915,1,0,0,0
2.0987654320987654,1,0,0,0
2.17283950617284,1,0,0,0
2.2222222222222223,1,0,0,0
2.3209876543209873,1,0,0,0
2.3209876543209877,1,0,0,0
2.3950617283950617,1,0,0,0
2.4444444444444446,1,0,0,0
2.5432098765432096,1,0,0,0
2.617283950617284,1,0,0,0
2.6666666666666665,1,0,0,0
2.691358024691358,1,0,0,0
2.765432098765432,1,0,0,0
2.8395061728395063,1,0,0,0
2.888888888888889,1,0,0,0
--------------------------
