Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,100
total runtime,112.651
average backtracks:,269
average splits:,280
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,0,0,0,0
22,1,0.46899986267089844,111,123
23,7,1.923285688672747,428,438
24,32,1.1555000022053719,277,288
25,33,0.9846363573363333,239,250
26,23,1.0593477850374968,261,271
27,4,1.221250057220459,262,273
28,0,0,0,0
29,0,0,0,0
--------------------------
variances,number of occurences,average runtime,average backtracks,average splits
0.1728395061728395,0,0,0,0
0.2222222222222222,2,0.2634999752044678,42,51
0.2469135802469136,0,0,0,0
0.3209876543209877,0,0,0,0
0.3950617283950617,2,0.05900001525878906,11,18
0.39506172839506176,0,0,0,0
0.4444444444444444,4,1.39124995470047,312,322
0.4691358024691357,1,0.46899986267089844,111,123
0.46913580246913583,0,0,0,0
0.54320987654321,5,1.0475999355316161,262,275
0.6172839506172839,3,1.9849999745686848,496,508
0.617283950617284,1,0.010999917984008789,0,7
0.6666666666666666,5,0.25079998970031736,59,69
0.691358024691358,3,0.32066671053568524,72,82
0.7654320987654322,3,0.372333288192749,88,97
0.8395061728395061,9,0.6931111282772489,161,172
0.8888888888888888,12,1.2641667127609253,299,308
0.9135802469135802,1,4.019999980926514,680,691
0.9876543209876544,5,0.20359997749328612,39,47
1.0617283950617284,4,0.48124998807907104,112,121
1.0617283950617287,2,0.5685000419616699,146,155
1.1111111111111112,3,0.7263333002726237,172,186
1.1111111111111114,0,0,0,0
1.1358024691358024,2,4.1839998960494995,1042,1055
1.2098765432098766,6,2.1528333028157554,532,542
1.2839506172839505,6,1.7135000228881836,402,414
1.2839506172839508,0,0,0,0
1.3333333333333333,6,1.5576666593551636,376,389
1.3580246913580245,0,0,0,0
1.432098765432099,2,1.3404998779296875,347,355
1.5061728395061729,2,0.5584999322891235,139,147
1.506172839506173,1,0.05499982833862305,10,23
1.5555555555555556,1,0.4869999885559082,101,111
1.5802469135802468,0,0,0,0
1.654320987654321,0,0,0,0
1.7283950617283952,1,4.194000005722046,1149,1162
1.7777777777777777,2,3.6290000677108765,907,921
1.8024691358024691,1,0.11299991607666016,19,23
1.8765432098765429,0,0,0,0
1.8765432098765433,1,0.016000032424926758,2,9
1.9506172839506175,0,0,0,0
2.0,1,0.07500004768371582,16,27
2.0000000000000004,0,0,0,0
2.0246913580246915,0,0,0,0
2.0987654320987654,0,0,0,0
2.17283950617284,1,1.0230000019073486,255,267
2.2222222222222223,0,0,0,0
2.3209876543209873,1,1.378000020980835,353,364
2.3209876543209877,0,0,0,0
2.3950617283950617,0,0,0,0
2.4444444444444446,0,0,0,0
2.5432098765432096,0,0,0,0
2.617283950617284,1,0.43899989128112793,97,106
2.6666666666666665,0,0,0,0
2.691358024691358,0,0,0,0
2.765432098765432,0,0,0,0
2.8395061728395063,0,0,0,0
2.888888888888889,0,0,0,0
--------------------------
